Date,3xMedian,7Q,Coeff Var,Mean Flow,Median Flow,Peak Flow,R-B index,Skew,Tqmean,Station
2008-10-01,120,92.95714285714287,158.39569362348678,981.9720547945205,260.0,11200.0,0.3359683254105942,-0.09031964707603343,103,Wildcat
2009-10-01,42,110.12857142857142,135.96331758954568,977.4789041095892,571.0,12700.0,0.2738745298921071,-0.09031964707603343,108,Wildcat
2010-10-01,103,91.28571428571429,155.61899843072888,1020.6605479452054,307.0,11200.0,0.29736155285953697,-0.09031964707603343,98,Wildcat
2011-10-01,82,76.41428571428573,163.72253375800713,768.5950819672132,276.0,8380.0,0.2830862356908383,-0.09031964707603343,91,Wildcat
2012-10-01,61,96.78571428571426,190.28505661248354,1109.4424657534246,476.0,21000.0,0.30034856456346726,-0.09031964707603343,79,Wildcat
2013-10-01,67,98.17142857142858,150.32437561101204,775.828493150685,360.0,8010.0,0.29787581918613565,-0.09031964707603343,87,Wildcat
2014-10-01,42,125.57142857142857,107.37549884960096,1021.0819672131148,649.0,7830.0,0.2712487557396527,-0.09031964707603343,94,Wildcat
2015-10-01,61,137.0,144.91078201215342,713.3005464480874,386.5,10500.0,0.2649946131505673,-0.09031964707603343,113,Wildcat
2016-10-01,80,140.0,137.9274210515996,1216.5150684931507,540.0,12600.0,0.3409775247799488,-0.09031964707603343,106,Wildcat
2017-10-01,65,85.6857142857143,149.78119415099366,805.5394520547945,350.0,7800.0,0.3151430108093508,-0.09031964707603343,82,Wildcat
2018-10-01,62,138.28571428571428,98.55474545347207,1426.6602739726027,973.0,7740.0,0.32229827615494955,-0.09031964707603343,141,Wildcat
Date,3xMedian,7Q,Coeff Var,Mean Flow,Median Flow,Peak Flow,R-B index,Skew,Tqmean,Station
1969-10-01,28,197.42857142857142,75.94614757446922,707.6054794520549,527.0,3480.0,0.0979301212656228,0.24152312006104396,129,Tippe
1970-10-01,21,169.85714285714286,80.08034926815864,647.8383561643835,518.0,3390.0,0.09195173834162931,0.24152312006104396,138,Tippe
1971-10-01,54,204.57142857142858,88.16735319675031,828.483606557377,520.0,3920.0,0.10387995712754558,0.24152312006104396,118,Tippe
1972-10-01,2,228.14285714285714,56.67535311347305,1351.0739726027398,1410.0,4620.0,0.0740172201921556,0.24152312006104396,194,Tippe
1973-10-01,27,189.28571428571428,86.74953275236855,1039.358904109589,852.0,4650.0,0.08139632966581094,0.24152312006104396,145,Tippe
1974-10-01,27,174.57142857142858,79.04644078057778,925.4712328767123,713.0,4690.0,0.0976118793239727,0.24152312006104396,146,Tippe
1975-10-01,50,191.28571428571428,107.8776639846926,868.3005464480874,511.0,4990.0,0.08269089169850022,0.24152312006104396,101,Tippe
1976-10-01,68,196.14285714285714,88.89659470204326,561.0931506849315,308.0,2800.0,0.08508342325890268,0.24152312006104396,109,Tippe
1977-10-01,64,161.57142857142858,117.93959862426604,945.054794520548,490.0,6640.0,0.07867631071620106,0.24152312006104396,98,Tippe
1978-10-01,85,169.42857142857142,128.95140416679652,716.7123287671233,330.0,7390.0,0.10981651376146778,0.24152312006104396,91,Tippe
1979-10-01,48,190.42857142857142,93.96459677402959,898.6693989071039,633.0,5270.0,0.10799208301283311,0.24152312006104396,104,Tippe
1980-10-01,79,303.42857142857144,111.32700283599746,1253.158904109589,580.0,8450.0,0.11433243769717291,0.24152312006104396,109,Tippe
1981-10-01,60,233.85714285714286,117.13024746307354,1142.5068493150684,658.0,8370.0,0.08279798088797763,0.24152312006104396,98,Tippe
1982-10-01,39,165.42857142857142,88.4360014317761,944.7150684931507,700.0,4770.0,0.09842787997250749,0.24152312006104396,126,Tippe
1983-10-01,52,181.42857142857142,89.10011577709201,868.3360655737705,541.0,3840.0,0.08574593075758864,0.24152312006104396,123,Tippe
1984-10-01,58,206.0,115.58407935378287,1152.986301369863,687.0,8420.0,0.09854576561163399,0.24152312006104396,103,Tippe
1985-10-01,4,218.28571428571428,57.11341945816785,972.7972602739726,853.0,3140.0,0.09551892438413731,0.24152312006104396,150,Tippe
1986-10-01,6,262.14285714285717,62.30434853999897,802.6383561643836,760.0,4180.0,0.07619392209937785,0.24152312006104396,153,Tippe
1987-10-01,57,141.71428571428572,86.05704875962371,641.5027322404371,411.0,2620.0,0.09131138464159493,0.24152312006104396,138,Tippe
1988-10-01,4,169.28571428571428,55.29769855730747,620.4876712328767,559.0,2000.0,0.07839172016708022,0.24152312006104396,140,Tippe
1989-10-01,30,227.71428571428572,94.03677324021437,1216.9534246575342,927.0,6970.0,0.1068804200023413,0.24152312006104396,120,Tippe
1990-10-01,11,188.42857142857142,77.33425661019407,1344.3013698630136,1290.0,6720.0,0.09528807548861745,0.24152312006104396,161,Tippe
1991-10-01,0,230.57142857142858,48.65167803519186,721.068306010929,664.5,1930.0,0.07114140751995934,0.24152312006104396,149,Tippe
1992-10-01,12,341.2857142857143,69.30549765102464,1351.2739726027398,1150.0,6570.0,0.09426923349857569,0.24152312006104396,151,Tippe
1993-10-01,13,212.14285714285714,75.01028938895188,1035.5863013698631,901.0,5410.0,0.09404241922383973,0.24152312006104396,146,Tippe
1994-10-01,34,187.42857142857142,78.64821874291616,896.8383561643835,674.0,3200.0,0.09325912031917305,0.24152312006104396,123,Tippe
1995-10-01,65,200.0,98.00822708386062,865.6174863387978,507.5,5910.0,0.09266261804959335,0.24152312006104396,112,Tippe
1996-10-01,10,311.85714285714283,59.251906518785034,1439.4301369863015,1270.0,5240.0,0.08350717178792205,0.24152312006104396,158,Tippe
1997-10-01,15,306.0,69.29515401833413,1425.7917808219179,1120.0,6100.0,0.09354667630002274,0.24152312006104396,140,Tippe
1998-10-01,82,146.28571428571428,95.07398562255183,918.9506849315069,483.0,5200.0,0.08495991556778586,0.24152312006104396,137,Tippe
1999-10-01,36,202.85714285714286,64.10543695593924,531.7459016393443,381.5,1600.0,0.07948350366613742,0.24152312006104396,119,Tippe
2000-10-01,22,272.2857142857143,69.75340139674475,838.8767123287671,662.0,3260.0,0.08444103334530847,0.24152312006104396,104,Tippe
2001-10-01,7,158.28571428571428,72.6545331589286,1179.3205479452056,1060.0,4120.0,0.0791354204417683,0.24152312006104396,160,Tippe
2002-10-01,30,157.71428571428572,86.54193558081356,509.9095890410959,340.0,2830.0,0.09485968503683166,0.24152312006104396,116,Tippe
2003-10-01,23,308.14285714285717,64.50563481188864,838.827868852459,618.5,3070.0,0.09584998583112651,0.24152312006104396,143,Tippe
2004-10-01,69,154.85714285714286,105.7482409464366,947.8027397260274,546.0,7150.0,0.09441303317261533,0.24152312006104396,124,Tippe
2005-10-01,19,190.28571428571428,67.46285288112736,580.3397260273972,472.0,2350.0,0.08556159830802933,0.24152312006104396,128,Tippe
2006-10-01,8,222.0,66.847127531256,1050.7835616438356,889.0,3770.0,0.08535834967252091,0.24152312006104396,162,Tippe
2007-10-01,25,211.85714285714286,100.93959454753328,1430.549180327869,1055.0,9030.0,0.11341893613404613,0.24152312006104396,149,Tippe
2008-10-01,57,239.14285714285714,106.90266095796959,1179.2931506849316,695.0,9410.0,0.10150728785759743,0.24152312006104396,134,Tippe
2009-10-01,4,289.0,50.506223346127,840.6876712328767,781.0,2870.0,0.07149398242143581,0.24152312006104396,166,Tippe
2010-10-01,104,201.85714285714286,100.35930779651525,937.745205479452,425.0,5370.0,0.08634819166932048,0.24152312006104396,125,Tippe
2011-10-01,61,106.28571428571429,100.80917533636426,877.8415300546449,522.5,5070.0,0.07349435089794278,0.24152312006104396,136,Tippe
2012-10-01,62,165.85714285714286,112.31925467813697,911.0958904109589,512.0,6220.0,0.1184964666967372,0.24152312006104396,106,Tippe
2013-10-01,54,235.42857142857142,87.41338441814428,891.3178082191781,584.0,4670.0,0.09646483120268279,0.24152312006104396,112,Tippe
2014-10-01,29,353.0,73.94891640337555,1037.495890410959,788.0,5720.0,0.09403833254992267,0.24152312006104396,105,Tippe
2015-10-01,17,213.14285714285714,62.080192258932485,760.8934426229508,572.0,2670.0,0.07973801290544989,0.24152312006104396,141,Tippe
2016-10-01,1,319.14285714285717,57.2166798726631,1116.3205479452056,959.0,2880.0,0.08363336499311584,0.24152312006104396,145,Tippe
2017-10-01,21,275.57142857142856,93.8681917731246,1055.7506849315068,755.0,7940.0,0.08858722871993957,0.24152312006104396,128,Tippe
2018-10-01,3,319.2857142857143,52.87081560346002,1167.331506849315,1160.0,3920.0,0.07403608745857554,0.24152312006104396,182,Tippe
Date,3xMedian,7Q,Coeff Var,Mean Flow,Median Flow,Peak Flow,R-B index,Skew,Tqmean,Station
